1,2,7.0
2,6,3.6
8,1,2.9
4,11,7.2
5,4,10.2
11,5,8.6
5,12,5.3
12,20,4.2
20,21,1.2
12,13,5.2
22,12,3.9
22,13,5.0
21,32,10.6
31,22,3.7
32,31,4.3
13,14,4.9
14,10,3.4
10,7,1.7
14,3,5.9
3,2,10.5
6,15,8.0
15,19,2.2
16,9,1.6
9,17,2.7
17,18,2.6
28,29,2.7
28,17,3.4
18,28,3.7
28,16,4.6
30,38,3.6
38,39,3.5
27,30,2.7
27,28,5.4
38,40,2.7
42,39,2.3
40,42,4.0
41,40,2.9
44,42,4.2
43,41,3.5
43,44,6.6
19,26,3.5
26,37,3.9
36,37,2.2
36,45,4.5
45,46,6.4
46,47,1.3
46,48,5.5
48,49,4.1
49,32,7.1
41,45,8.1
34,45,2.6
34,35,1.1
34,33,1.4
33,31,2.5
33,25,4.8
25,31,5.0
31,25,7.1
23,14,1.6
23,24,5.5
46,34,10.5
19,27,3.0
27,26,2.7
23,25,2.3
